Hospital Name,Lab Name,Address,City,Postcode,"Lab type 
(Academic, Public, Private)","Offer PD-L1 Testing 
(Yes/No/Validating)",When did you start testing?,"PD-L1 Testing Performed 
(In house/ Send out)",Name of Sendout Lab,"PD-L1 Diagnostic algorithm 
(Individual, Panel, Reflex)","PD-L1 volume (NSCLC) 
for April to May","EGFR volume (NSCLC) 
for April to May","ALK volume (NSCLC) 
for April to May","
NSCLC volume 
for April to May","Number of Methods 
for PD-L1","Methodology 
(LDT/Kit/Both)","LDT PD-L1 
Antibody(ies)","PD-L1 Kit 
28-8 Dako Kit ","PD-L1 Kit 
22C3 Dako Kit ","PD-L1 Kit 
SP263 
Ventana Kit ","Laboratory Algorithm  
(Parallel, Sequential)",PD-L1 Platform/ Autostainer 1,PD-L1 Platform/ Autostainer 2,"Clinical cut-off
(50%, 10%, 1%, 
Reporting percentage tumor cells expressed)","PD-L1 Expression level at
?1%","PD-L1 Expression level at
overall ?50% ","PD-L1 
Average TAT",Report Style,PD-L1 Funding (Local/ Pharma),Comments,filename,worksheetname,Country,data_collection_period_start,date_collection_period_end,Disease,Unnamed: 37,worksheet,country,year,firstdate,seconddate
CHU de Poitiers,Laboratoire de Biologie Moléculaire,2 rue de la Milétrie,Poitiers Cedex,86021.0,Academic,Yes ,May-17,In house,,Individual,45.0,140.0,140.0,140.0,1.0,LDT,E1L3N,,,,Sequential,Ventana,,Reporting percentage tumor cells expressed,,,3.0,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2017,France,11-Apr-17,10-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital Nord (Bat C/ niveau -1),Laboratoire d'anatomopathologie et de génétique moléculaire,25 Boulevard Pasteur,Saint-Etienne Cedex 02,42055.0,Academic,Yes,2016,In house,,Individual,44.0,145.0,145.0,145.0,1.0,LDT,E1L3N,,,,Sequential,Ventana,,Reporting percentage tumor cells expressed,58%,10%,4.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2017,France,12-Apr-17,11-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Centre Georges-François Leclerc,Laboratoire d'anatomopathologie/Laboratoire de Biologie Moléculaire/ Unité d'natomie et de cytologie pathologique,1 rue du Professeur Marion BP 77980,Dijon Cedex,21000.0,Private,Yes,Jul-05,In house,,Individual,41.0,140.0,140.0,140.0,2.0,Both,SP142,,,Yes,Sequential,Ventana,,Reporting percentage tumor cells expressed,48%,11%,4.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2017,France,13-Apr-17,12-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
"CHU Amiens - Picardie, Hôpital Nord",Laboratoire d'anatomopathologie,Place Victor Pauchet,Amiens,80000.0,Academic,Yes,May-17,In house,,Panel,40.0,45.0,45.0,45.0,1.0,Kit,,,,Yes,Parallel,Ventana,,Reporting percentage tumor cells expressed,50%,25%,3.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2030,France,14-Apr-17,13-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Institut Bergonié,Département de Biopathologie/Unité de Pathologie Moléculaire,229 cours de l'Argonne,Bordeaux,33000.0,Hospital,Yes,Oct-16,In house,,Panel,40.0,40.0,40.0,40.0,3.0,Both,E1L3N; SP142,,,Yes,Parallel,Ventana,,Reporting percentage tumor cells expressed,,,4.0,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2031,France,15-Apr-17,14-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
"CHU de Nantes, Hôpital Hôtel Dieu","Laboratoire de Biochimie, Institut de Biologie",9 quai Moncousu,Nantes,44093.0,Academic,Yes,Jan-17,In house,,Reflex,40.0,81.0,81.0,81.0,4.0,Both,SP142; 22C3,Yes,,Yes,Sequential,Ventana,Dako,Reporting percentage tumor cells expressed,,,4.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2032,France,16-Apr-17,15-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
UF de biologie cellulaire,Laboratoire de Biologie Moléculaire/ Pôle de biologie - laboratoire Pol Bouin,45 rue Cognacq-Jay,Reims cedex,51092.0,Academic,Yes,2016,In house,,Individual,37.0,128.0,128.0,128.0,1.0,LDT,E1L3N,,,,Sequential,Ventana,,Reporting percentage tumor cells expressed,,,4.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2033,France,17-Apr-17,16-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital européen Georges-Pompidou,Laboratoire de Biochimie/ UF de Pharmacogénétique et Oncologie Moléculaire HEGP,"20, rue Leblanc",Paris cedex 15,75908.0,Hospital,Yes,2016,In house,,Individual,34.0,120.0,120.0,120.0,2.0,LDT,28-8; E1L3N,,,,Sequential,Ventana,Leica,Reporting percentage tumor cells expressed,,,4.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2034,France,18-Apr-17,17-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
CHU de Bordeaux Hôpital Haut-Lévêque ,Service de Biologie des tumeurs,CHU de Bordeaux Hôpital Haut-Lévêque ,Bordeaux,33604.0,Academic,Yes,Apr-17,In house,,Individual,30.0,93.0,93.0,93.0,1.0,LDT,22C3,,,,Sequential,Ventana,Leica,Reporting percentage tumor cells expressed,,,4.0,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2035,France,19-Apr-17,18-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital Saint-Antoine,Laboratoire d'anatomopathologie/ Service d'anatomie et de Cytologie pathologiques,184 rue du Faubourg Saint Antoine,Paris cedex 12,75571.0,Hospital,Yes,Jul-05,In house,,Individual,28.0,85.0,85.0,85.0,3.0,Both,28-8; E1L3N,,,Yes,Sequential,Ventana,Leica,Reporting percentage tumor cells expressed,,,4.0,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2036,France,20-Apr-17,19-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Site Hôpital Bichat,Laboratoire d'anatomopathologie/Laboratoire de Biologie Moléculaire/ Département de Pathologie Beaujon-Bichat,46 rue Henry Huchard,Paris cedex 18,75877.0,Hospital,Yes,2016,In house,,Individual,26.0,100.0,100.0,100.0,2.0,Both,SP142,,,Yes,Sequential,Ventana,Leica,Reporting percentage tumor cells expressed,49%,8%,4.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2037,France,21-Apr-17,20-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
CHRU Besançon - Bâtiment bleu niv +2,Laboratoire de Biologie Médicale,3 boulevard Alexandre Fleming,Besançon,25000.0,Hospital,Yes,2016,In house,,Individual,25.0,51.0,51.0,51.0,2.0,Both,SP142,,,Yes,Parallel,Ventana,,Reporting percentage tumor cells expressed,64%,,4.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2038,France,22-Apr-17,21-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
CHU - Paris; Hopital Necker - Enfants Malades,Service d'Anatomie et de Cytologie Pathologiques,149 rue des Sevres,Paris ,75743.0,Hospital,Yes,Jan-17,In house,,Individual,25.0,57.0,57.0,57.0,3.0,Both,E1L3N; SP142,,,Yes,Sequential,Ventana,Dako,Reporting percentage tumor cells expressed,,,3.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2039,France,23-Apr-17,22-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital du Bocage,"Laboratoire d'anatomopathologie et de biologie moléculaire /chromosomique et moléculaire/ Plateau technique de Biologie, Service de pathologie",2 rue Angélique Ducoudray BP,Dijon,21079.0,Academic,Yes,2016,In house,,Individual,25.0,89.0,89.0,89.0,1.0,Kit,,,,Yes,Sequential,Ventana,,Reporting percentage tumor cells expressed,52%,7%,4.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2040,France,24-Apr-17,23-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Faculté de Médecine Nord,Laboratoire d'anatomopathologie et de biologie moléculaire,Boulevard Pierre Dramard,Marseille Cedex 20,13916.0,Hospital,Yes,Jan-17,In house,,Individual,22.0,72.0,72.0,72.0,3.0,Both,E1L3N; SP142,,,Yes,Sequential,Ventana,,Reporting percentage tumor cells expressed,52%,,4.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2041,France,25-Apr-17,24-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Institut de Cancérologie de Lorraine-Alexis Vautrin,Laboratoire d'anatomopathologie/Service de Biopathologie - Unité d'anatomie pathologique,Avenue de bourgogne CS 30519,Vandoeuvre-lès-Nancy,54519.0,Hospital,Yes,Jan-17,In house,,Reflex,22.0,84.0,84.0,84.0,3.0,Both,E1L3N; SP142,Yes,,,Sequential,Ventana,Dako,Reporting percentage tumor cells expressed,48%,10%,3.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2042,France,26-Apr-17,25-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Institut Curie,Laboratoire d'anatomopathologie/Département Biologie des tumeurs,26 rue d'Ulm,Paris,75005.0,Hospital,Yes,Jan-17,In house,,Individual,20.0,64.0,64.0,64.0,2.0,Both,SP142,,,Yes,Sequential,Ventana,Leica,Reporting percentage tumor cells expressed,,,3.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2043,France,27-Apr-17,26-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Institut Paoli Calmettes,Laboratoire d'anatomopathologie et de biologie moléculaire/Département de Bio-pathologie,232 Boulevard Saint Marguerite,Marseille Cedex 09,13273.0,Hospital,Yes,Jan-17,In house,,Individual,18.0,84.0,84.0,84.0,3.0,Both,E1L3N; SP142,,,Yes,Sequential,Ventana,,Reporting percentage tumor cells expressed,,,3.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2044,France,28-Apr-17,27-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital Morvan,Laboratoire d'anatomopathologie,2 avenue Foch,Brest Cedex,29609.0,Academic,Yes,2016,In house,,Individual,18.0,51.0,51.0,51.0,1.0,LDT,E1L3N,,,,Sequential,Ventana,,Reporting percentage tumor cells expressed,47%,5%,4.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2045,France,29-Apr-17,28-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital Pasteur,Laboratoire de Pathologie Moléculaire,"30 avenue de la voie romaine, Pavillon J, BP69",Nice Cedex 01,6002.0,Public,Yes,Feb-17,In house,,Individual,13.0,59.0,59.0,59.0,5.0,Both,E1L3N; SP142,Yes,Yes,Yes,Sequential,Ventana,Dako,Reporting percentage tumor cells expressed,,,2.0,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2046,France,30-Apr-17,29-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital Cochin,Laboratoire d'anatomopathologie,27 rue du Faubourg Saint Jacques,Paris cedex 14,75679.0,Hospital,Yes,Jan-17,In house,,Reflex,13.0,40.0,40.0,40.0,2.0,LDT,E1L3N; SP142,,,,Sequential,Leica,,Reporting percentage tumor cells expressed,,,3.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2047,France,1-Apr-17,30-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital Henri Mondor,Laboratoire d'anatomopathologie et de biologie moléculaire,51 avenue du Maréchal de Lattre de Tassigny,Paris Creteil cedex,94010.0,Hospital,Yes,Feb-17,In house,,Individual,12.0,51.0,51.0,51.0,1.0,LDT,E1L3N,,,,Sequential,Leica,,Reporting percentage tumor cells expressed,,,2.0,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2048,France,2-Apr-17,1-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
CHU Toulouse -  IUCT-Oncopole,Département d'Anatomie ,1 Avenue Irène Joliot-Curie,Toulouse Cedex 9,31059.0,Academic,Yes,Jan-17,In house,,Reflex,11.0,50.0,50.0,50.0,2.0,LDT,E1L3N; SP142,,,,Sequential,Ventana,,Reporting percentage tumor cells expressed,,,3.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2049,France,3-Apr-17,2-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital Albert Michallon,Unité de pathologie moléculaire/Unité de biochimie des cancers et biothérapies / Institut de Biologie et de Pathologie,CS 10217,Grenoble,38043.0,Academic,Yes,2016,In house,,Individual,8.0,65.0,65.0,65.0,1.0,LDT,E1L3N,,,,Sequential,Ventana,,Reporting percentage tumor cells expressed,55%,11%,4.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2050,France,4-Apr-17,3-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital Ambroise Paré,Laboratoire d'histopathologie et de pathologie moléculaire,9 avenue Charles de Gaulle,Boulogne-billancourt,92100.0,Hospital,Yes,2016,In house,,Individual,8.0,24.0,24.0,24.0,1.0,LDT,E1L3N,,,,Sequential,Ventana,,Reporting percentage tumor cells expressed,,,3.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2051,France,5-Apr-17,4-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital d'Enfants de la Timone,Service de Biologie Cellulaire/Laboratoire de Biologie Médicale,264 Rue St. Pierre,Marseille Cedex 05 ,13385.0,Hospital,Yes,Jan-17,In house,,Individual,5.0,5.0,5.0,5.0,3.0,Both,E1L3N; SP142,,,Yes,Sequential,Ventana,,Reporting percentage tumor cells expressed,,,3.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2052,France,6-Apr-17,5-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital Carémeau,Laboratoire de biochimie et biologie Moléculaire,Place du Professeur Robert Debré,Nîmes cedex 09,30029.0,Academic,Yes,Jan-17,In house,,Individual,3.0,16.0,16.0,16.0,1.0,LDT,E1L3N,,,,Sequential,,,Reporting percentage tumor cells expressed,,,3.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2053,France,7-Apr-17,6-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
CHRU de Lille,Institut de Pathologie/ Centre de biologie et de pathologie,2 avenue Oscar Lambret,Lille Cedex,59037.0,Academic,Yes,2016,In house,,Individual,3.0,10.0,10.0,10.0,1.0,LDT,E1L3N,,,,Sequential,Ventana,,Reporting percentage tumor cells expressed,,,4.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2054,France,8-Apr-17,7-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Centre Antoine Lacassagne,Laboratoire de Biologie Moléculaire,33 avenue de Valombrose,Nice Cedex 02,6189.0,Hospital,Validating,,,,,,20.0,20.0,20.0,3.0,Both,E1L3N; SP142,,,Yes,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2055,France,9-Apr-17,8-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital Trousseau,Laboratoire d'anatomopathologie/Laboratoire de Biologie Moléculaire,Avenue de la République,Tours Chambray-lès-tours,31170.0,Hospital,Validating,,,,,,11.0,11.0,11.0,1.0,LDT,E1L3N,,,,,Ventana,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2056,France,10-Apr-17,9-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital Gui de Chauliac,Département de Biopathologie cellulaire et tissulaire des tumeurs/Laboratoire d'anatomie et de cytologie pathologique,80 avenue Augustin fliche,Montpellier Cedex 5,34295.0,Academic,Validating,,,,,,88.0,88.0,88.0,2.0,Both,E1L3N; SP142,,,Yes,,Ventana,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2057,France,11-Apr-17,10-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital Pontchaillou,Laboratoire de Biologie Moléculaire/Service de Génétique Moléculaire et Génomique/Service de Cytogénétique et Biologie Cellulaire,2 rue Henri Le Guilloux,Rennes cedex 09,35033.0,Hospital,Validating,,,,,,30.0,30.0,30.0,2.0,Both,E1L3N,,,Yes,,Ventana,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2058,France,12-Apr-17,11-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
"Institut de cancérologie de l'Ouest Angers, Nantes",Laboratoire de Biologie Moléculaire/Département de biopathologie du cancer Oncopharmacologie et pharmacogénétique,15 rue Boquel,Angers Cedex 02,49055.0,Hospital,Validating,,,,,,56.0,56.0,56.0,3.0,Both,28-8; E1L3N,,Yes,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2059,France,13-Apr-17,12-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
"CHU de Nancy, Hôpital de Brabois",Service de Génétique,Allé du Morvan,Nancy,54035.0,Hospital,Validating,,,,,,100.0,100.0,100.0,2.0,LDT,E1L3N; SP142,,,,,Ventana,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2060,France,14-Apr-17,13-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
CLCC Paul Strauss,Laboratoire de Biologie Moléculaire ,3 rue de la porte de l'hôpital - BP 30042,Strasbourg,67005.0,Hospital,Validating,,Send Out,Laboratoire Anapath Hautepierre,,,56.0,56.0,56.0,1.0,LDT,E1L3N,,,,,Ventana,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2061,France,15-Apr-17,14-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital Universitaire Dupuytren,"Pôle Biologie-Hygiène, Laboratoire de Pathologie",2 avenue Martin Luther King,Limoges,87042.0,Hospital,Validating,,,,,,12.0,12.0,12.0,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2062,France,16-Apr-17,15-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Centre Léon Bérard,Laboratoire d'anatomopathologie et de biologie moléculaire,28 rue Laënnec,Lyon cedex 08,69373.0,Hospital,No*,,,,,,45.0,45.0,45.0,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2063,France,17-Apr-17,16-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
CHRU Besançon,SIP d'anatomopathologie et biologie cellulaire,"3 boulevard Alexandre Fleming
Bâtiment gris niv-2",Besançon,25000.0,Academic,No,,,see comments,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2064,France,18-Apr-17,17-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Centre Henri Becquerel,"Rue d'Amiens, CS11516 ",,Rouen Cedex,76038.0,Private,No,,Send Out ,CHU Rouen/ hopital Nicolle,Reflex,,80.0,80.0,80.0,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2065,France,19-Apr-17,18-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital de la Timone,Laboratoire d'anatomopathologie/ 2ème étage Bâtime Timone 2,264 rue St Pierre,Marseille cedex 5,13385.0,Hospital,Sendout,,,Faculté de Médecine Nord (see comments),,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2066,France,20-Apr-17,19-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital La Source,"Laboratoire de Biologie Moléculaire/Pôle de biopathologies, Unité fonctionnelle de biologie moléculaire",14 avenue de l'hôpital,Orléans cedex 2,45067.0,Hospital,No,,,,,,49.0,49.0,49.0,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2067,France,21-Apr-17,20-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Institut Jean Godinot,Laboratoire d'anatomopathologie et de biologie moléculaire,"1 rue du Général Koenig, BP 171",Reims Cedex,51056.0,Hospital,No,,,,,,53.0,53.0,53.0,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2068,France,22-Apr-17,21-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
